Execution Order,Page ID,Priority,Cluster,Page Type,Parent Pillar,Primary Keyword,Search Intent,Funnel,H1 / Page Title,Suggested URL,Target Length,H2 / H3 Content Structure,Answer-First / LLM Blocks,Required Tables,CTA Guidance,Evidence Requirement
1,AF-HUB,P1,Air Fryers,Category Hub,,air fryer reviews and buying guides,Mixed,MOFU,"Air Fryer Reviews, Comparisons and Buying Guides",/air-fryers/,"1,500–2,200",Quick answer: how to choose the right air fryers | Best picks by budget and use case | Browse all best-of roundups | Latest individual reviews | Head-to-head comparisons | Buying guides and troubleshooting | How CounterCrave evaluates products | Frequently asked questions,40–60 word category summary; decision table; category taxonomy; links to best answers; methodology statement; concise FAQ answers.,Best-by-use-case navigation table; latest content list,Internal links first; minimal direct Amazon CTAs,"Original editorial context, source validation and clear author accountability."
2,BL-HUB,P1,Blenders,Category Hub,,blender reviews and buying guides,Mixed,MOFU,"Blender Reviews, Comparisons and Buying Guides",/blenders/,"1,500–2,200",Quick answer: how to choose the right blenders | Best picks by budget and use case | Browse all best-of roundups | Latest individual reviews | Head-to-head comparisons | Buying guides and troubleshooting | How CounterCrave evaluates products | Frequently asked questions,40–60 word category summary; decision table; category taxonomy; links to best answers; methodology statement; concise FAQ answers.,Best-by-use-case navigation table; latest content list,Internal links first; minimal direct Amazon CTAs,"Original editorial context, source validation and clear author accountability."
3,AF-PIL,P1,Air Fryers,Commercial Pillar,AF-HUB,best air fryers,Commercial Investigation,BOFU,Best Air Fryers for Every Kitchen and Budget,/best-air-fryers/,"3,000–4,500",Our top picks at a glance | Comparison table | How we selected and evaluated the products | Best overall recommendation | Best value recommendation | Best premium recommendation | Best options by specific use case | How to choose the right product | Who should buy and who should skip | Alternatives worth considering | Frequently asked questions,Answer-first verdict; top-three table; measurable selection criteria; each pick has buy-if/skip-if; clear alternatives; short fact-based FAQs.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
4,BL-PIL,P1,Blenders,Commercial Pillar,BL-HUB,best blenders,Commercial Investigation,BOFU,"Best Blenders for Smoothies, Ice and Everyday Use",/best-blenders/,"3,000–4,500",Our top picks at a glance | Comparison table | How we selected and evaluated the products | Best overall recommendation | Best value recommendation | Best premium recommendation | Best options by specific use case | How to choose the right product | Who should buy and who should skip | Alternatives worth considering | Frequently asked questions,Answer-first verdict; top-three table; measurable selection criteria; each pick has buy-if/skip-if; clear alternatives; short fact-based FAQs.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
5,AF-R01,P1,Air Fryers,Roundup,AF-PIL,best air fryer under $100,Commercial Investigation,BOFU,Best Air Fryers Under $100,/best-air-fryer-under-100/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best air fryer under $100 | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
6,AF-R02,P1,Air Fryers,Roundup,AF-PIL,best air fryer under $150,Commercial Investigation,BOFU,Best Air Fryers Under $150,/best-air-fryer-under-150/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best air fryer under $150 | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
7,AF-R03,P1,Air Fryers,Roundup,AF-PIL,best air fryer for one person,Commercial Investigation,BOFU,Best Air Fryer for One Person,/best-air-fryer-for-one-person/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best air fryer for one person | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
8,AF-R04,P1,Air Fryers,Roundup,AF-PIL,best air fryer for 2 people,Commercial Investigation,BOFU,Best Air Fryer for 2 People,/best-air-fryer-for-2-people/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best air fryer for 2 people | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
9,AF-R05,P1,Air Fryers,Roundup,AF-PIL,best air fryer for family of 4,Commercial Investigation,BOFU,Best Air Fryer for a Family of 4,/best-air-fryer-for-family-of-4/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best air fryer for family of 4 | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
10,AF-R06,P1,Air Fryers,Roundup,AF-PIL,best large air fryer for family,Commercial Investigation,BOFU,Best Large Air Fryers for Big Families,/best-large-air-fryer-for-family/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best large air fryer for family | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
